id,id_curva,indicador_codigo,sexo_codigo,edad_valor,percentil_codigo,percentil,valor
560,1,BMI,M,98,P10,10.0,14.098
561,1,BMI,M,98,P15,15.0,14.385
562,1,BMI,M,98,P25,25.0,14.838
563,1,BMI,M,98,P50,50.0,15.785
564,1,BMI,M,98,P75,75.0,16.898
565,1,BMI,M,98,P85,85.0,17.582
566,1,BMI,M,98,P90,90.0,18.086
567,1,BMI,M,98,P95,95.0,18.904
568,1,BMI,M,98,P97,97.0,19.486
569,1,BMI,M,98,P99,99.0,20.72
570,1,BMI,M,98,P999,99.9,23.373
571,1,BMI,M,99,P01,0.1,12.359
572,1,BMI,M,99,P1,1.0,13.03
573,1,BMI,M,99,P3,3.0,13.466
574,1,BMI,M,99,P5,5.0,13.712
575,1,BMI,M,99,P10,10.0,14.115
576,1,BMI,M,99,P15,15.0,14.403
577,1,BMI,M,99,P25,25.0,14.858
578,1,BMI,M,99,P50,50.0,15.809
579,1,BMI,M,99,P75,75.0,16.931
580,1,BMI,M,99,P85,85.0,17.62
581,1,BMI,M,99,P90,90.0,18.129
582,1,BMI,M,99,P95,95.0,18.956
583,1,BMI,M,99,P97,97.0,19.545
584,1,BMI,M,99,P99,99.0,20.797
585,1,BMI,M,99,P999,99.9,23.499
586,1,BMI,M,100,P01,0.1,12.373
587,1,BMI,M,100,P1,1.0,13.045
588,1,BMI,M,100,P3,3.0,13.482
589,1,BMI,M,100,P5,5.0,13.728
590,1,BMI,M,100,P10,10.0,14.132
591,1,BMI,M,100,P15,15.0,14.421
592,1,BMI,M,100,P25,25.0,14.878
593,1,BMI,M,100,P50,50.0,15.834
